Strain_ID	Alias	Assembly_ID	RST
B-17/2013	Gr-39	ASM1913465v1	3
PAli		ASM215146v1	1
PAbe		ASM215148v1	1
B31_NRZ		ASM215150v1	1
B408		ASM2466215v1	3
B379		ASM2466217v1	2
B31-5A4		ASM2466219v1	1
MM1		ASM336729v1	3
GMT-0122		ASM4079071v1	2
Bb16-183		ASM4079073v1	2
Bb16-150		ASM4079074v1	3
Bb16-134		ASM4079075v1	3
Bb16-23-2		ASM4079076v1	3
P1286		ASM4079077v1	1
Bb16-15-2		ASM4079078v1	3
297		ASM4079079v1	2
B31		ASM4079080v1	1
UNY167	B331P	ASM244259v2	3
UNY186	B418P		3
UNY196	B500P	ASM1946457v1	3
ESI26H	EU57_B190413		1
ESI361H	EU51_B192411		3
ESI403H	EU14_B89613		1
ESI425H	L113H		3
PFhe_I_PB_Ill_cons	PFhe_I	PFhe_I_PB_Ill_cons	1
UCT109H	K69		1
UCT110H	K70		2
UCT113H	K76		2
UCT124H	K90		1
UCT29H	K1		1
UCT30H	K11		2
UCT31H	K10		1
UCT32H	K15		2
UCT35H	K24		3
UCT50H	K21		3
UCT92H	K72		2
UCT96H	K84		1
UNY1032P	BL206		1
UNY1038P	BL224		2
UNY1083P	BL515		3
UNY1085P	BL522P		3
UNY1090P	BL546P		2
UNY1128P	MR614		3
UNY149P	B247		2
UNY169P	B348		3
UNY172P	B356		3
UNY193P	B477		3
UNY203P	MR616		3
UNY208P	MR641		2
UNY990P	B483P		2
URI101H	K57		1
URI102H	K58		1
URI103H	K59		2
URI107H	K66		1
URI111H	K74		1
URI112H	K75		2
URI117H	K82		2
URI118H	K83		2
URI120H	K86		1
URI33H	K16		2
URI34H	K22		3
URI36H	K25		3
URI39H	K2		1
URI40H	K3		1
URI41H	K6		1
URI42H	K7		1
URI44H	K12		2
URI46H	K17		2
URI47H	K18		2
URI48H	K19		2
URI56H	K30		3
URI86H	K56		2
URI87H	K60		1
URI88H	K62		2
URI89H	K64		1
URI91H	K71		1
URI93H	K73		1
UWI247P	MC104		2
UWI248P	MC105		2
UWI263P	MC123		2
UWI283P	MC149		3
XYZ459H	XD1H		3